0 0
0.0166667 0.00424411
0.0333333 0.00837396
0.05 0.0123808
0.0666667 0.016275
0.0833333 0.0200467
0.1 0.0237059
0.116667 0.0272422
0.133333 0.0306666
0.15 0.033968
0.166667 0.0371589
0.183333 0.0402399
0.2 0.0438197
0.216667 0.0520048
0.233333 0.120318
0.25 0.244481
0.266667 0.365806
0.283333 0.481414
0.3 0.591265
0.316667 0.695398
0.333333 0.793723
0.35 0.886299
0.366667 0.973095
0.383333 1.05414
0.4 1.12941
0.416667 1.19893
0.433333 1.26267
0.45 1.32066
0.466667 1.37287
0.483333 1.41933
0.5 1.46001
0.516667 1.49494
0.533333 1.52409
0.55 1.54749
0.566667 1.56511
0.583333 1.57698
0.6 1.58307
0.616667 1.58341
0.633333 1.57798
0.65 1.56678
0.666667 1.54982
0.683333 1.5271
0.7 1.4986
0.716667 1.46435
0.733333 1.42433
0.75 1.37855
0.766667 1.32699
0.783333 1.26968
0.8 1.2066
0.816667 1.13776
0.833333 1.06315
0.85 0.982773
0.866667 0.896635
0.883333 0.804735
0.9 0.707063
0.916667 0.603633
0.933333 0.494435
0.95 0.379471
0.966667 0.258744
0.983333 0.132254
1 0
